,open,close,high,low,volume,money,mov_percent,movement,EMA-5,ROC-5,RSI,MI
2005-06-30,276.64,269.17,276.64,268.95,894036900.0,4376886826.0,0.374137879779048,0,0.47326923329068066,0.5214957483920452,0.3375231863837338,-3.4499999999999886
2005-07-01,267.98,260.11,267.98,259.69,994342400.0,4248813309.0,0.35998288872910383,0,0.38677772002465716,0.4295875719976917,0.25839999624999144,-11.519999999999982
2005-07-04,258.26,258.25,258.29,253.06,858744800.0,3443935430.0,0.535504245151836,0,0.4313160979389867,0.35805881612853907,0.2438372181268513,-22.170000000000016
2005-07-05,257.5,256.05,259.19,255.16,662111600.0,2968986894.0,0.5020366325613469,0,0.4565113564857075,0.37741305265596914,0.22651920201018258,-21.670000000000016
2005-07-06,256.1,254.55,257.95,252.8,646519400.0,2738570395.0,0.499515614083676,0,0.4840041069403074,0.3836211636381031,0.21460171667285813,-24.420000000000016
2005-07-07,254.33,255.94,256.87,253.53,574962400.0,2392153448.0,0.573620237039338,1,0.5469640549287444,0.46400403712510857,0.23722153237422275,-20.370000000000005
2005-07-08,255.18,249.05,255.18,248.39,707503500.0,2810291199.0,0.3919738596595478,0,0.46172956895568484,0.4803573947868824,0.18157692830895364,-28.579999999999984
2005-07-11,251.35,246.63,255.82,246.22,732090500.0,3125625437.0,0.42335475927667265,0,0.4725077334842786,0.4742539776729584,0.1638923034691164,-37.81999999999999
2005-07-12,246.01,254.72,255.28,244.72,1081506500.0,4771162663.0,0.7476189118616693,1,0.6458849229062773,0.5724163714369248,0.2901251577812145,-24.890000000000015
2005-07-13,254.33,252.99,254.61,251.28,823865500.0,3624623035.0,0.5042049659623661,0,0.6070371786530427,0.5701124068818736,0.2745430873410091,-24.21999999999997
2005-07-14,252.73,253.2,255.41,252.05,740966400.0,3191751479.0,0.5468653681000429,1,0.6118426435757588,0.5588235514549016,0.2777744296024671,-15.970000000000027
2005-07-15,253.22,249.07,254.65,248.11,824384800.0,3284047760.0,0.4376559175251571,0,0.5464822464272148,0.5854253277396544,0.23908837056670443,-11.04000000000002
2005-07-18,248.42,244.71,248.42,243.53,732861200.0,2847346145.0,0.44636058013656954,0,0.498663594249665,0.566026969079136,0.20179651721182265,-13.539999999999992
2005-07-19,244.19,245.93,246.88,243.0,661794200.0,2622793283.0,0.5783793850388896,1,0.5551258422051861,0.5001176788514007,0.22293506427561763,-10.120000000000005
2005-07-20,245.85,248.24,248.97,244.85,686137100.0,2746512141.0,0.5939139035088389,1,0.6109573135733678,0.5389206653605082,0.26306434318751215,-6.310000000000002
2005-07-21,248.27,247.92,248.57,245.11,672844400.0,2730137855.0,0.5272992356193379,0,0.6059836629686204,0.5337965146228301,0.25973912377131336,-8.02000000000001
2005-07-22,248.58,253.08,255.53,247.69,1436545800.0,6001907050.0,0.6440730014227746,1,0.6909965036877141,0.6249350489622657,0.34807999835783265,4.030000000000001
2005-07-25,252.66,251.77,253.21,250.63,930367400.0,4008908066.0,0.5146553148042307,0,0.6431730647819134,0.6563823051125923,0.3319678330734951,5.140000000000015
2005-07-26,251.46,257.5,258.36,251.43,1403305100.0,6211522009.0,0.6794829164816751,1,0.7240740948357409,0.7012583960742459,0.42103774973170016,2.780000000000001
2005-07-27,257.71,263.74,263.74,257.07,1546033600.0,6579915377.0,0.6757645361759184,1,0.7845851476772567,0.7392243887273231,0.5020504364544479,10.75
2005-07-28,263.81,263.51,267.02,262.57,1777288100.0,7758764874.0,0.5289304616488115,0,0.7216632355595061,0.7403184897875354,0.4985865143983115,10.310000000000002
2005-07-29,262.94,262.23,263.49,260.54,1145068000.0,4738984562.0,0.5195763078308054,0,0.6644921688286073,0.6743966863398844,0.47850162551000186,13.160000000000025
2005-08-01,261.97,263.65,264.77,261.42,971638800.0,4120286994.0,0.5741144991099129,1,0.668524454691183,0.701603723623473,0.4982072559637728,18.93999999999997
2005-08-02,263.86,268.22,268.25,262.35,1274304500.0,5116436724.0,0.6346239561110227,1,0.719326636979804,0.6879035696917101,0.5576595103044389,22.29000000000002
2005-08-03,268.87,271.19,274.59,268.6,2182512400.0,9074907280.0,0.587374781813083,1,0.7278255645231555,0.6548952027447608,0.5926272603815798,22.94999999999999
2005-08-04,270.53,269.12,271.29,268.22,1333421300.0,5718038425.0,0.5045446127348715,0,0.6571892824023581,0.6377344155424529,0.5543454685383559,21.200000000000017
2005-08-05,269.0,276.31,276.31,269.0,1710126700.0,7775089232.0,0.6983641109315303,1,0.7495207554653265,0.7176531716659449,0.6344108001499452,23.22999999999999
2005-08-08,277.68,279.18,281.2,277.0,2054975500.0,9535564814.0,0.5680638528567609,1,0.744960437007112,0.7305040948615681,0.6619133911414828,27.409999999999997
2005-08-09,279.07,282.53,282.58,276.55,1884083900.0,8243912500.0,0.6099342005169234,1,0.748548925336654,0.7168106791965793,0.6921045082220423,25.029999999999973
2005-08-10,282.66,284.7,284.74,278.85,1998724300.0,8535572016.0,0.5789272839919793,1,0.7332511657707839,0.7080940102443312,0.7107607786904246,20.95999999999998
2005-08-11,284.85,289.08,289.29,283.94,2226117100.0,10428775872.0,0.6246058809633921,1,0.7546269511013414,0.7681498100834532,0.7458340584481564,25.569999999999993
2005-08-12,289.35,283.46,291.48,282.08,2546546800.0,11482412511.0,0.41391490112340434,0,0.6261988952029467,0.6490480475205869,0.6361286761990527,21.22999999999996
2005-08-15,283.03,290.77,290.78,283.01,1842625100.0,8850004576.0,0.6993946672440458,1,0.724692865907031,0.6876159136648029,0.6982980346097493,27.120000000000005
2005-08-16,291.15,289.17,292.55,286.97,2120414600.0,9789621900.0,0.49503741496511067,0,0.6638365154838398,0.6431909780636882,0.6695058355251807,20.94999999999999
2005-08-17,288.59,293.37,293.6,284.27,2222064400.0,10174827275.0,0.6348596049651014,1,0.7048415327713001,0.6603349390977356,0.7036612068123904,22.180000000000007
2005-08-18,293.72,283.29,296.27,282.95,2968377300.0,13436636902.0,0.32322498355057094,0,0.5336922011053655,0.5358288338678049,0.5430114634354073,14.170000000000016
2005-08-19,282.07,283.55,285.53,277.99,1932146300.0,8753644482.0,0.567136387491512,1,0.5629139378551916,0.5860103430996098,0.5456352821490796,7.240000000000009
2005-08-22,283.24,286.82,287.29,281.9,1368263300.0,5843019955.0,0.6113772802073966,1,0.6247323186694204,0.5517229976894303,0.5788440643520896,7.639999999999986
2005-08-23,286.83,283.31,286.83,280.27,1267667700.0,5363131327.0,0.462293261112271,0,0.5712555508956276,0.5352471766104753,0.5260838255867916,0.7800000000000296
2005-08-24,283.33,285.7,286.51,283.05,1268012400.0,5362076352.0,0.5857954561760343,1,0.6180975123521079,0.520746184264361,0.5520674074286055,1.0
2005-08-25,285.83,287.51,287.55,283.54,1491840800.0,5892811539.0,0.5709108056774961,1,0.6412657846320793,0.6219668213558993,0.571549635751548,-1.5699999999999932
2005-08-26,287.82,288.58,289.08,286.02,1634594200.0,6531562478.0,0.5515383767091082,1,0.6462558080135963,0.6289785717427461,0.5832337245729446,5.1200000000000045
2005-08-29,288.74,285.74,288.74,283.93,1657201500.0,6165845196.0,0.47355680312958653,0,0.5950130358966407,0.5759404488692115,0.5344948957253824,-5.029999999999973
2005-08-30,285.34,283.92,286.04,283.61,1265450600.0,5125531102.0,0.5059538039869774,0,0.5750876396229389,0.5905375868628948,0.5041624321586529,-5.25
2005-08-31,283.64,288.75,288.77,282.37,1545067900.0,6383450852.0,0.6435521708790141,1,0.6547842644845808,0.6115567469615896,0.5643864333740392,-4.6200000000000045
2005-09-01,288.81,294.84,294.86,287.79,2141323200.0,8807503214.0,0.6606858048507307,1,0.725222182857812,0.6481059870088837,0.6287615771489178,11.549999999999955
2005-09-02,295.27,296.77,296.99,293.93,1910349300.0,8266896980.0,0.5661379970247851,1,0.7132791178584157,0.6552228031322563,0.6472660646537974,13.21999999999997
2005-09-05,297.23,299.64,299.65,296.08,1658504600.0,7095498919.0,0.5842597923872634,1,0.7181164367776898,0.7052038334329775,0.6739921017730053,12.819999999999993
2005-09-06,299.99,293.94,302.24,293.35,2219896000.0,9378734790.0,0.4150437726295075,0,0.6045228290466004,0.6722683739626447,0.5715136203713203,10.629999999999995
2005-09-07,293.16,301.12,301.16,292.35,1949821000.0,8581986837.0,0.69823057825332,1,0.7044385756725878,0.6908847781335572,0.641136743621134,15.420000000000016
2005-09-08,301.65,302.23,303.29,298.87,2123811200.0,9721747854.0,0.5472427889587546,1,0.687955430801674,0.6470446632200985,0.6509513031625525,14.720000000000027
2005-09-09,302.24,299.71,303.72,298.62,1558913300.0,7089855773.0,0.48564041690190607,0,0.6283750636224495,0.6096604482928085,0.6066417117318126,11.129999999999995
2005-09-12,299.72,300.67,301.05,298.74,1159135200.0,4746517328.0,0.5547047103131277,1,0.6355835926642837,0.5937052034117408,0.6164994583961995,14.930000000000007
2005-09-13,301.03,306.69,306.69,300.64,1616778700.0,6987830538.0,0.6482579209688197,1,0.707931934528455,0.6922076539435197,0.6738141855500719,22.769999999999982
2005-09-14,307.12,309.22,309.26,305.97,2104243200.0,9016758751.0,0.5766565517904051,1,0.7087996825924969,0.6515707226783596,0.6954279703082528,20.470000000000027
2005-09-15,309.41,309.75,310.31,307.58,1694673900.0,7307991774.0,0.5423121728396235,1,0.6828120865650064,0.6465939913541442,0.6999970881811608,14.910000000000025
2005-09-16,309.78,309.72,310.18,307.66,1588751600.0,6732100985.0,0.5345768502519073,0,0.6583697903792557,0.667600386753228,0.6993464754979583,12.950000000000045
2005-09-19,309.82,312.47,312.74,308.81,1650303900.0,6710796675.0,0.5869238363600027,1,0.6784178358728324,0.6820204071961428,0.7247772363185044,12.830000000000041
2005-09-20,312.72,309.9,312.83,307.44,1969210800.0,8401932218.0,0.48176949563001414,0,0.6226022851719114,0.6110414330676042,0.6665412159509574,15.95999999999998
2005-09-21,309.66,304.65,309.66,304.49,2112943500.0,8510440825.0,0.43891192688715286,0,0.5510080804309672,0.5487769527324675,0.5606425637926531,3.5299999999999727
2005-09-22,303.84,295.08,303.84,291.52,1885216700.0,7969342549.0,0.3631959846174381,0,0.44659209159151914,0.46841957033221704,0.4122660786724659,-7.150000000000034
2005-09-23,294.11,291.73,296.15,291.49,1342225700.0,5578331649.0,0.4873078331348425,0,0.45588557906210747,0.4419706883506099,0.36996389612178315,-7.979999999999961
2005-09-26,291.42,293.05,293.09,290.27,910156900.0,3938956904.0,0.5692092951138569,1,0.5240181889585497,0.4319444192000488,0.38978223123784983,-7.6200000000000045
2005-09-27,293.09,287.33,293.77,287.03,1213988700.0,5037641253.0,0.41812384952184145,0,0.47582441906167916,0.40560397747852106,0.320155449682455,-19.360000000000014
2005-09-28,286.94,286.5,289.5,285.63,1016848000.0,4204189268.0,0.526559151116606,0,0.5087262178780416,0.4382913021584762,0.31068252215325487,-22.720000000000027
